,Classification,Mean R,Mean G,Mean B,Std R,Std G,Std B
0,sick,130.83392333984375,130.8399658203125,119.89646911621094,32.60362237135919,31.387723751392894,29.717413625536707
1,sick,18.064865112304688,21.60748291015625,11.05316162109375,39.11088941472636,45.74285680989654,25.62111750814319
2,sick,115.0938720703125,117.34117126464844,103.48307800292969,60.23207661424623,48.804189250740514,57.06389118796159
3,sick,100.4285888671875,99.42160034179688,86.37257385253906,44.78635226473104,43.262812871057896,28.60179560012495
4,sick,125.6591796875,127.33174133300781,115.40660095214844,37.77345960393533,38.83156985546397,35.679445508501026
5,sick,166.93280029296875,163.7021484375,139.8205108642578,45.80765491003396,44.51080944275728,54.03425524223216
6,sick,113.77873229980469,115.1046142578125,103.49925231933594,67.18910772026281,59.58806353918369,64.32033194865492
7,sick,127.4818115234375,121.11323547363281,121.26885986328125,22.834476224192805,22.692209030893093,25.43908857078668
8,sick,96.83009338378906,95.824951171875,85.02523803710938,44.66746011301285,37.773791734993075,46.89920635673957
9,sick,110.21607971191406,108.74403381347656,90.51104736328125,61.86098142261345,49.95327363265307,58.331302077228976
10,sick,114.00325012207031,104.79031372070312,89.32907104492188,63.296641683733164,61.081622748813274,65.99319159951744
11,sick,115.733642578125,120.41709899902344,106.78250122070312,19.26338363287935,19.92263769941964,24.05945653831475
12,sick,102.52513122558594,117.43888854980469,91.23377990722656,20.800423855812245,30.321677605690653,21.651137330671556
13,sick,127.20930480957031,119.50428771972656,117.09199523925781,21.81183960918647,22.43853733400356,26.19970603972836
14,sick,148.7438507080078,153.78228759765625,129.39710998535156,61.62519845952766,54.954233677310825,65.5052099369103
15,sick,108.02983093261719,112.56622314453125,90.13055419921875,63.03282045476571,52.90132349321353,62.46049935573271
16,sick,118.86924743652344,122.19972229003906,107.69253540039062,48.98695333456835,33.22803863911518,49.38411867386109
17,sick,122.27937316894531,137.15591430664062,112.18040466308594,42.372566798122705,38.864602392778565,49.22556067644316
18,sick,113.27015686035156,136.50665283203125,108.80674743652344,63.333249983533776,48.65111024680396,66.11652254518846
19,sick,116.57301330566406,118.7730712890625,115.80070495605469,45.58550011699289,42.22685286892297,54.651261710999584
20,sick,117.7117919921875,109.1173095703125,102.52952575683594,21.622212781264903,22.145720224362286,23.653821649367682
21,sick,123.24623107910156,122.64552307128906,113.60983276367188,26.5145913224365,22.693026504672417,31.50676192684351
22,sick,115.61781311035156,113.5506591796875,104.47615051269531,40.47390139090564,37.11993390314273,29.592697295195148
23,sick,93.8759765625,87.21775817871094,85.24775695800781,46.554248944102305,44.35398713210603,50.44211851931309
24,sick,95.84243774414062,108.79290771484375,85.4716796875,24.47236694639363,32.10239510875747,28.17243272310762
25,sick,113.34147644042969,110.25868225097656,100.51803588867188,52.322512467883165,40.140399876801084,48.71981028250893
26,sick,126.42764282226562,114.33197021484375,99.60466003417969,55.26909640667873,47.92117825975454,50.85593398391446
27,sick,104.59175109863281,103.02626037597656,99.4256591796875,36.71847205276132,35.704334849836414,49.39066049905532
28,sick,121.84074401855469,119.51521301269531,123.13441467285156,24.269831099951563,23.934469032584364,25.353128244338563
29,sick,122.89349365234375,115.51283264160156,107.75839233398438,56.016338497010246,47.62789999600137,52.37625686983198
30,sick,125.46481323242188,116.18321228027344,114.87794494628906,19.430625503250283,19.065874113103188,23.568893635828196
31,sick,88.00357055664062,80.3660888671875,78.16938781738281,40.75223411842123,38.86998042648573,42.90652501308471
32,sick,117.0946044921875,114.04304504394531,111.3941650390625,15.354915471615223,16.498573736299814,18.56934368886693
33,sick,119.39207458496094,120.28660583496094,123.21661376953125,60.152130368780455,53.062694346351414,63.05485047606819
34,sick,124.64241027832031,114.87095642089844,112.93684387207031,46.41299089643377,45.89174812928945,55.92668306024639
35,sick,116.39286804199219,119.21728515625,108.28518676757812,30.148044702817,23.707872105242377,33.18410435416528
36,sick,126.27011108398438,132.1516571044922,116.38859558105469,63.44546383554726,61.32021616005773,69.20810229503284
37,sick,103.64601135253906,106.385986328125,102.40946960449219,44.382461963621225,37.26404078333113,45.15747303221421
38,sick,108.99134826660156,94.14472961425781,81.40144348144531,63.237597561445924,59.37610327914425,60.053163680235954
39,sick,119.93687438964844,118.63656616210938,117.21092224121094,30.953951653166712,31.07745964714979,35.33955498377848
40,sick,22.392501831054688,26.727981567382812,17.099807739257812,33.989316423128685,40.35078799764406,27.01489077700084
41,sick,115.66328430175781,113.03807067871094,102.77217102050781,25.484965569378144,27.280554767472353,31.258131091935564
42,sick,107.50946044921875,106.4658203125,103.00106811523438,30.136098790208624,27.994670752449025,24.85580237981612
43,sick,129.5548553466797,129.92233276367188,122.99578857421875,51.335360980858006,48.01777203472093,59.73658235797731
44,sick,113.5157470703125,116.63325500488281,109.63887023925781,29.853212911202263,28.40399390169996,25.52148792997317
45,sick,94.99655151367188,102.46168518066406,84.98335266113281,35.929473717449945,29.325348088629987,46.4020096241142
46,sick,131.02439880371094,118.67353820800781,89.26808166503906,46.55240458968734,44.65215398159518,50.58753844495556
47,sick,123.12179565429688,124.41520690917969,110.17697143554688,51.65032172860383,39.323748810779456,53.21116998838814
48,sick,115.40133666992188,120.7923583984375,108.86331176757812,30.743530099647778,26.84773622004436,37.19599297933715
49,sick,113.29869079589844,106.4654541015625,94.00125122070312,63.669826477786486,58.06699209094657,60.07123023793306
50,sick,97.65733337402344,95.93043518066406,78.66728210449219,44.75325379472771,42.0203310221308,50.478052500842814
51,sick,22.747238159179688,29.92724609375,17.27838134765625,52.57103639068,63.94232691819148,43.9077285829188
52,sick,151.11221313476562,157.1342315673828,129.98902893066406,66.04000344811217,58.60410066976618,73.22826420907953
53,sick,103.52009582519531,112.58810424804688,114.30674743652344,35.70782662170762,35.06297202074959,46.74479482407917
54,sick,101.0784912109375,110.99501037597656,110.66741943359375,50.644005077194784,49.641012206659134,59.3617657272023
55,sick,124.48362731933594,114.14178466796875,114.9998779296875,27.421802225715105,27.88758423352652,28.915250393302223
56,sick,136.16552734375,137.00938415527344,123.72706604003906,65.44383479974357,61.129124942313055,69.9431541720017
57,sick,30.975799560546875,43.101776123046875,25.747634887695312,38.35132569291901,50.050420615435186,31.854526094812858
58,sick,124.64952087402344,121.77557373046875,116.58326721191406,26.188942325898015,27.32427351517374,30.323950199988094
59,sick,134.11036682128906,132.38357543945312,123.04331970214844,47.5839090921678,36.60154742540608,49.109713675439444
60,sick,98.47801208496094,98.07743835449219,94.72494506835938,31.058885406961895,29.954413301305582,30.412282876567023
61,sick,127.66372680664062,119.38552856445312,118.67967224121094,19.73157161469242,19.0004116757635,22.17596405904446
62,sick,124.95281982421875,121.9921875,116.25044250488281,26.384350929697383,27.35669392292457,30.37619970321636
63,sick,128.22848510742188,123.04954528808594,122.10879516601562,20.820414613360708,21.123168911617295,24.5555737200435
64,sick,114.52719116210938,117.62641906738281,98.9185791015625,26.710859679166678,30.436397240936834,30.61544651742836
65,sick,133.2079315185547,126.55735778808594,123.54115295410156,23.58477605013327,18.493879137506774,28.435770307806152
66,sick,115.36248779296875,113.81153869628906,114.90557861328125,19.475795783453286,21.08399489217301,14.638099331312475
67,sick,114.79985046386719,123.60673522949219,103.18486022949219,28.99139214418312,33.875410213910826,25.366585801132555
68,sick,103.85539245605469,103.79875183105469,84.453857421875,54.1018310792692,43.556665933515845,49.79043675789731
69,sick,126.00852966308594,122.41899108886719,112.68994140625,48.548605598832864,40.210645673073984,49.933431578997045
70,sick,128.2169189453125,126.80628967285156,113.51742553710938,27.458637072551543,30.930621830368956,30.985861747490627
71,sick,114.14323425292969,102.04438781738281,98.63070678710938,49.990495382631174,49.544564252634025,55.79894873690011
72,sick,105.01400756835938,105.45497131347656,84.04338073730469,59.51413990159824,54.12566886228442,59.8869639467374
73,sick,124.61007690429688,123.54646301269531,115.12200927734375,43.49663450093911,41.01484123509905,50.24004700640513
74,sick,107.23161315917969,116.75907897949219,101.03315734863281,52.061497540143144,37.4921201637387,48.44379793812322
75,sick,117.74240112304688,135.41761779785156,108.02714538574219,29.639959677980315,38.23993210649609,28.585388417412098
76,sick,136.23077392578125,124.42253112792969,121.65069580078125,37.0599876491475,30.459705861876785,37.59138964173983
77,sick,92.49774169921875,111.54171752929688,81.85536193847656,22.781571387853997,21.385792268825867,30.025895698118376
78,sick,28.267929077148438,35.87580871582031,17.859771728515625,45.23597903589121,54.05801160683497,30.273766959432667
79,sick,151.322509765625,154.30581665039062,132.50413513183594,58.76715037986303,54.30870470600967,61.18590631699309
80,sick,121.78860473632812,122.68768310546875,98.09983825683594,42.73237850433017,41.2391704789003,54.2386715583183
81,sick,122.01716613769531,114.71968078613281,95.2628173828125,56.496188102782035,47.37412798731118,56.170429727725946
82,sick,126.43952941894531,116.55105590820312,116.68452453613281,21.56489823164158,22.16406221322474,24.960697421804475
83,sick,111.86520385742188,112.19224548339844,90.67730712890625,58.59186627321183,49.756872099170465,56.402140401027765
84,sick,124.38540649414062,117.99795532226562,111.41238403320312,46.08360114089534,45.571643760789875,56.65031017808014
85,sick,112.48942565917969,114.27529907226562,102.29278564453125,49.11037775633788,45.666036141830325,61.13641613141483
86,sick,122.8145751953125,114.75482177734375,117.6871337890625,22.809067297708953,21.925777588131584,23.385170419404698
87,sick,119.22703552246094,131.9196014404297,106.03956604003906,63.08249324709237,46.58721904747062,53.42645833555162
88,sick,112.83583068847656,133.9105682373047,107.34732055664062,25.531434285885403,19.046673453924225,29.25209606242521
89,sick,123.65116882324219,123.58697509765625,116.29319763183594,18.040909106947623,18.412538652220043,24.59292952723368
90,sick,126.01655578613281,120.87135314941406,101.57806396484375,63.766917542730646,56.05415237908128,61.26208409581286
91,sick,135.0689697265625,135.07275390625,124.82701110839844,48.67790207980352,48.04583572132075,60.50036215243019
